SequenceId,GermlineDist,TargetDist
lcl_1029776-1,5.633802817,91.4893617
lcl_1002484-1,13.79310345,88.32116788
lcl_1010620-1,11.80555556,87.85714286
lcl_1021444-1,12.5,88.32116788
lcl_1038335-1,11.80555556,89.7810219
lcl_1012651-1,5.633802817,87.5
lcl_1015696-1,9.79020979,89.36170213
lcl_1037330-1,10.41666667,89.28571429
lcl_1025997-1,9.85915493,87.41258741
lcl_1022063-1,8.510638298,87.23404255
lcl_102308-3,13.79310345,88.32116788
lcl_1025003-1,11.11111111,89.85507246
lcl_1032378-1,10.48951049,86.33093525
lcl_1022347-1,9.090909091,90.64748201
lcl_1020279-1,4.255319149,87.41258741
lcl_1006180-1,9.655172414,90
lcl_1015199-1,11.11111111,90.51094891
lcl_1028008-1,3.546099291,87.32394366
lcl_1023832-1,13.60544218,86.5248227
lcl_1021267-1,13.69863014,89.7810219
lcl_1016596-1,8.510638298,86.61971831
lcl_1002030-1,3.546099291,89.36170213
lcl_1012653-1,15.86206897,83.68794326
lcl_1017977-1,14.38356164,89.05109489
lcl_1022965-1,11.80555556,90.51094891
lcl_1004612-1,7.638888889,84.93150685
lcl_1011766-1,10.34482759,86.5248227
lcl_1013591-1,8.333333333,87.5862069
lcl_1012578-1,9.090909091,90
lcl_1036092-1,13.79310345,88.32116788
lcl_1038151-1,4.964539007,87.5
lcl_1020720-1,6.293706294,85.03401361
lcl_1021552-1,20.52980132,80.41958042
lcl_1025434-1,10.41666667,88.73239437
lcl_1023095-1,2.836879433,88.65248227
lcl_1018884-1,9.79020979,83.44827586
lcl_1024817-1,7.042253521,92.14285714
lcl_1007325-1,20.13422819,76.19047619
lcl_1015082-1,11.88811189,83.33333333
lcl_1019366-1,7.092198582,89.28571429
lcl_1003733-1,0.709219858,90.71428571
lcl_1016536-1,16.55172414,85
lcl_1021145-1,7.042253521,90.64748201
lcl_100286-3,9.090909091,90.07092199
lcl_1034502-1,11.03448276,84.24657534
lcl_1026928-1,3.546099291,90.78014184
